[ 2013-05-23T22:06:57+08:00 ] /rustcms/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003742s ]
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.004064s ]
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008348s ]
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 33 行.
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 40 行.
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: type functions.php 第 40 行.
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 40 行.
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: type functions.php 第 40 行.
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 40 行.
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: type functions.php 第 40 行.
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 40 行.
[ 2013-05-23T22:08:06+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: type functions.php 第 40 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003117s ]
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.054095s ]
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.057743s ]
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 33 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 40 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: type functions.php 第 40 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 40 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: type functions.php 第 40 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 40 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: type functions.php 第 40 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: class functions.php 第 40 行.
[ 2013-05-23T22:09:11+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: type functions.php 第 40 行.
[ 2013-05-23T22:10:41+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:10:41+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002616s ]
[ 2013-05-23T22:10:41+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002805s ]
[ 2013-05-23T22:10:41+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005938s ]
[ 2013-05-23T22:12:35+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:12:35+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003279s ]
[ 2013-05-23T22:12:35+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003481s ]
[ 2013-05-23T22:12:35+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007266s ]
[ 2013-05-23T22:13:52+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:13:52+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002033s ]
[ 2013-05-23T22:13:52+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002809s ]
[ 2013-05-23T22:13:52+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005339s ]
[ 2013-05-23T22:16:40+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:16:40+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002443s ]
[ 2013-05-23T22:16:40+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003667s ]
[ 2013-05-23T22:16:40+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006748s ]
[ 2013-05-23T22:16:42+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:16:42+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002012s ]
[ 2013-05-23T22:16:42+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002977s ]
[ 2013-05-23T22:16:42+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005504s ]
[ 2013-05-23T22:16:58+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:16:58+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002718s ]
[ 2013-05-23T22:16:58+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003393s ]
[ 2013-05-23T22:16:58+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006646s ]
[ 2013-05-23T22:17:22+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:17:22+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002331s ]
[ 2013-05-23T22:17:22+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003193s ]
[ 2013-05-23T22:17:22+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006217s ]
[ 2013-05-23T22:18:08+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:18:08+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002017s ]
[ 2013-05-23T22:18:08+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002936s ]
[ 2013-05-23T22:18:08+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005490s ]
[ 2013-05-23T22:19:06+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:19:06+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003602s ]
[ 2013-05-23T22:19:06+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003904s ]
[ 2013-05-23T22:19:06+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008009s ]
[ 2013-05-23T22:48:57+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant __INFO__ - assumed '__INFO__' Dispatcher.class.php 第 129 行.
[ 2013-05-23T22:48:57+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:48:57+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003062s ]
[ 2013-05-23T22:48:57+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003737s ]
[ 2013-05-23T22:48:57+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007252s ]
[ 2013-05-23T22:49:12+08:00 ] /rustcms/ | NOTIC: [8] Undefined index: PATH_INFO Dispatcher.class.php 第 129 行.
[ 2013-05-23T22:49:12+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:49:12+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002560s ]
[ 2013-05-23T22:49:12+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002861s ]
[ 2013-05-23T22:49:12+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006173s ]
[ 2013-05-23T22:49:41+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T22:49:41+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001980s ]
