[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ route_check ] --START--
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.001375s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.001524s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ app_begin ] --START--
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run CheckLang Behavior [ RunTime:0.001648s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002823s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SHOW COLUMNS FROM `think_menu` [ RunTime:0.006167s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [2] Missing argument 1 for MenuModel::menu_tree(), called in F:\wamp\www\rustcms\rustcms\Modules\Admin\Action\MenuAction.class.php on line 56 and defined MenuModel.class.php 第 40 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [8] Undefined variable: parentid MenuModel.class.php 第 41 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SHOW COLUMNS FROM `think_menu` [ RunTime:0.005054s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `think_menu` WHERE ( `parentid` = 0 )  [ RunTime:0.000378s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `think_menu` WHERE ( `parentid` = 1 )  [ RunTime:0.000281s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `think_menu` WHERE ( `parentid` = 2 )  [ RunTime:0.000278s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `think_menu` WHERE ( `parentid` = 3 )  [ RunTime:0.000261s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 43 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 55 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `think_menu` WHERE ( `parentid` = 3 )  [ RunTime:0.000266s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 43 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 55 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `think_menu` WHERE ( `parentid` = 6 )  [ RunTime:0.000257s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 43 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 55 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | SQL: SELECT * FROM `think_menu` WHERE ( `parentid` = 6 )  [ RunTime:0.000289s ]
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 43 行.
[ 2013-05-28T17:52:43+08:00 ] /index.php/Admin/Menu/menu/action/Setting | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 55 行.
