[ 2013-05-26T10:18:44+08:00 ] /rustcms/index.php/admin | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2013-05-26T10:19:01+08:00 ] /rustcms/index.php/admin | ERR: (ThinkException) Unknown database 'rustcms'
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | INFO: Tag[ route_check ] --START--
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | INFO: Run CheckRoute Behavior [ RunTime:0.005085s ]
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.005455s ]
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | INFO: Tag[ app_begin ] --START--
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004886s ]
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | INFO: Run CheckLang Behavior [ RunTime:0.005037s ]
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010383s ]
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | SQL: SHOW COLUMNS FROM `think_menu` [ RunTime:0.014696s ]
[ 2013-05-26T10:24:16+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_template ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.026463s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.026776s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_parse ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Run ParseTemplate Behavior [ RunTime:0.082037s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.082374s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_filter ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Run ContentReplace Behavior [ RunTime:0.014041s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Run TokenBuild Behavior [ RunTime:0.005572s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004164s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Run ShowRuntime Behavior [ RunTime:0.005255s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.029879s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_end ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Run ShowPageTrace Behavior [ RunTime:0.004775s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_end ] --END-- [ RunTime:0.005064s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run CheckRoute Behavior [ RunTime:0.007268s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --END-- [ RunTime:0.007629s ]
