[ 2013-05-27T15:45:20+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2013-05-27T15:45:36+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T15:45:36+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000985s ]
[ 2013-05-27T15:45:36+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.001376s ]
[ 2013-05-27T15:45:36+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002663s ]
[ 2013-05-27T15:45:36+08:00 ] / | SQL: SHOW COLUMNS FROM `think_model` [ RunTime:0.004640s ]
[ 2013-05-27T15:45:36+08:00 ] / | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.004222s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | INFO: Tag[ route_check ] --START--
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | INFO: Run CheckRoute Behavior [ RunTime:0.022654s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.022786s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002011s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | INFO: Run CheckLang Behavior [ RunTime:0.002188s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004356s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | NOTIC: [8] Undefined index: @&rustuser RBAC.class.php 第 177 行.
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | SQL: select node.id,node.name from role as role,user as user,access as access ,node as node where user.user_id='' and user.role_id=role.id and ( access.role_id=role.id  or (access.role_id=role.pid and role.pid!=0 ) ) and role.status=1 and access.node_id=node.id and node.level=1 and node.status=1 [ RunTime:0.000472s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | NOTIC: [2] Invalid argument supplied for foreach() RBAC.class.php 第 225 行.
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin | NOTIC: [8] Undefined index: @&rustuser RBAC.class.php 第 151 行.
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --START--
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002117s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002231s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001898s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run CheckLang Behavior [ RunTime:0.002160s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004214s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --START--
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.012979s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.013111s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --START--
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.026288s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026415s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --START--
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run ContentReplace Behavior [ RunTime:0.002044s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run TokenBuild Behavior [ RunTime:0.002085s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001837s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.002098s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008547s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --START--
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002172s ]
[ 2013-05-27T15:47:00+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002271s ]
[ 2013-05-27T15:47:01+08:00 ] /index.php/Admin/statics/css/Admin/login.css | ERR: (ThinkException) 无法加载模块statics
[ 2013-05-27T15:47:01+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-05-27T15:47:01+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.003454s ]
[ 2013-05-27T15:47:01+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003600s ]
[ 2013-05-27T15:47:01+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T15:47:01+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002007s ]
[ 2013-05-27T15:47:01+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002181s ]
[ 2013-05-27T15:47:01+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004334s ]
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --START--
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002316s ]
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002436s ]
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001967s ]
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Run CheckLang Behavior [ RunTime:0.002230s ]
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004350s ]
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --START--
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002992s ]
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003097s ]
[ 2013-05-27T15:47:41+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --START--
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.015226s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015339s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --START--
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001818s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Run TokenBuild Behavior [ RunTime:0.004389s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001839s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001935s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010265s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --START--
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001878s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001974s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002165s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002282s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002044s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002218s ]
[ 2013-05-27T15:47:42+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004416s ]
[ 2013-05-27T16:13:58+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001469s ]
