[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Tag[ app_begin ] --START--
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001068s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Run CheckLang Behavior [ RunTime:0.001870s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003221s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | NOTIC: [2048] Declaration of RoleModel::_before_write() should be compatible with that of Model::_before_write() RoleModel.class.php 第 2 行.
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | SQL: SHOW COLUMNS FROM `think_role` [ RunTime:0.004830s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | SQL: SHOW COLUMNS FROM `think_role` [ RunTime:0.005448s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | SQL: SELECT * FROM `think_role`  [ RunTime:0.000347s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Tag[ view_template ] --START--
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Run LocationTemplate Behavior [ RunTime:0.001548s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Tag[ view_template ] --END-- [ RunTime:0.001684s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Tag[ view_parse ] --START--
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | NOTIC: [8] Undefined index: id 2c36e85e4a1c10a091e6b08a84005ab3.php 第 41 行.
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Run ParseTemplate Behavior [ RunTime:0.015364s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015467s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Tag[ view_filter ] --START--
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Run ContentReplace Behavior [ RunTime:0.000820s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Run TokenBuild Behavior [ RunTime:0.000852s ]
[ 2013-05-29T16:55:17+08:00 ] /index.php?g=Admin&m=Management&a=role | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000577s ]
