[ 2013-05-30T09:50:31+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-05-30T09:50:31+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001128s ]
[ 2013-05-30T09:50:31+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.001613s ]
[ 2013-05-30T09:50:31+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003020s ]
[ 2013-05-30T09:50:31+08:00 ] / | SQL: SHOW COLUMNS FROM `think_model` [ RunTime:0.005721s ]
[ 2013-05-30T09:50:31+08:00 ] / | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.004724s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | INFO: Tag[ route_check ] --START--
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | INFO: Run CheckRoute Behavior [ RunTime:0.001398s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001560s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | INFO: Tag[ app_begin ] --START--
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000785s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | INFO: Run CheckLang Behavior [ RunTime:0.001067s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002021s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | NOTIC: [8] Undefined index: @&rustuser RBAC.class.php 第 177 行.
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | SQL: select node.id,node.name from role as role,user as user,access as access ,menu as node where user.user_id='' and user.role_id=role.id and ( access.role_id=role.id  or (access.role_id=role.pid and role.pid!=0 ) ) and role.status=1 and access.node_id=node.id and node.level=1 and node.status=1 [ RunTime:0.000414s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | NOTIC: [2] Invalid argument supplied for foreach() RBAC.class.php 第 225 行.
[ 2013-05-30T09:51:44+08:00 ] /index.php/admin | NOTIC: [8] Undefined index: @&rustuser RBAC.class.php 第 151 行.
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --START--
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000946s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001060s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --START--
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000747s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Run CheckLang Behavior [ RunTime:0.001128s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002038s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --START--
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001402s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001545s ]
[ 2013-05-30T09:51:44+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --START--
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.096117s ]
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.096243s ]
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --START--
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000821s ]
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000890s ]
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000640s ]
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000872s ]
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003475s ]
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --START--
[ 2013-05-30T09:51:45+08:00 ] /index.php/Admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000822s ]
